P+Pa,¾¶Á÷Éî
71.2,3.6
105,36
67.7,1.3
78.9,11.1
79.9,11.6
82.5,11.5
92,15.7
100.4,33.9
87.8,15.6
140.2,61.3
104.1,32.9
93.7,22.2
154.5,89.8
107.7,37.7
119.6,7
79.7,7.9
70.1,3
74,6.4
95.3,25.4
202.3,130.2
108.2,32.8
88.4,20.8
